brand,cc,mileage,name,power,price,rating,type
ADMS,,2.5 kW,ADMS EVA,,Rs.1.35 Lakh*(View On Road Price),4.6/5,bike
ADMS,4-5 Hr,2 kW,ADMS Phantom,,Rs.1.33 Lakh*(View On Road Price),5.0/5,bike
ADMS,3-4 Hr,250 W,ADMS Marvel,,"Rs.97,000*(View On Road Price)",4.7/5,bike
ADMS,4-8 Hr,1.2 kW,ADMS DB,,Rs.1.33 Lakh*(View On Road Price),5.0/5,bike
ADMS,4-8 Hr,250 W,ADMS TTX,,Rs.1.15 Lakh*(View On Road Price),4.8/5,bike
AMO Electric,6 Hr,249 W,AMO Electric Jaunty-3W,,"Rs.81,669*(View On Road Price)",4.6/5,bike
AMO Electric,6 Hr,249 W,AMO Electric Jaunty,,"Rs.62,964 - 90,064*(View On Road Price)",4.6/5,bike
AMO Electric,6 Hr,249 W,AMO Electric Brisk,,"Rs.62,913*(View On Road Price)",4.0/5,bike
AMO Electric,6 Hr,249 W,AMO Electric Inspirer,,"Rs.53,951 - 86,626*(View On Road Price)",4.5/5,bike
AMO Electric,4 Hr,1.27 kW,AMO Electric Jaunty Plus,,Rs.1.08 Lakh*(View On Road Price),5.0/5,bike
AMO Electric,6 Hr,249 W,AMO Electric Jaunty Pro,,"Rs.69,256*(View On Road Price)",4.3/5,bike
Aeroride,,,Aeroride YB2000,,"Rs.97,100 - 1.30 Lakh*(View On Road Price)",3.7/5,bike
Aftek Motors,4.5 Hr,3 kW,Aftek Elmo,,Rs.1.10 Lakh*(View On Road Price),1.0/5,bike
Ampere Electric,5 Hr,2.1 kW,Ampere Magnus EX,,"Rs.84,900*(View On Road Price)",3.8/5,bike
Ampere Electric,5-6 Hr,1.5 kW,Ampere Magnus Neo,,"Rs.79,999*(View On Road Price)",4.2/5,bike
Ampere Electric,3.3 Hr,3.3 kW,Ampere Nexus,,Rs.1.15 - 1.25 Lakh*(View On Road Price),4.1/5,bike
Ampere Electric,5.3 Hr,250 W,Ampere Reo,,"Rs.49,900 - 59,900*(View On Road Price)",4.3/5,bike
Ampere Electric,5 Hr,3.4 kW,Ampere Primus,,Rs.1.20 Lakh*(View On Road Price),4.1/5,bike
Ampere Electric,5 Hr,1.8 kW,Ampere Zeal EX,,"Rs.86,690*(View On Road Price)",4.1/5,bike
Atumobile,3-4 Hr,250 W,Atumobile Atum Version 1.0,,"Rs.61,500*(View On Road Price)",3.7/5,bike
Atumobile,4 Hr,3 kW,Atumobile AtumVader,,Rs.1.09 - 1.39 Lakh*(View On Road Price),4.5/5,bike
BNC Motors,,3 kW,BNC Motors Challenger,,"Rs.99,900 - 1.45 Lakh*(View On Road Price)",4.5/5,bike
BSA,652 cc,25 kmpl,BSA Gold Star,45.62 PS,Rs.3.10 - 3.45 Lakh*(View On Road Price),4.5/5,bike
Bounce,3-4 Hr,2.2 kW,Bounce Infinity E.1,,"Rs.59,000 - 1.26 Lakh*(View On Road Price)",4.1/5,bike
Brixton Motorcycles,1222 cc,21.7 kmpl,Brixton Cromwell 1200,83 PS,Rs.7.84 - 9.11 Lakh*(View On Road Price),3.8/5,bike
Brixton Motorcycles,486 cc,25 kmpl,Brixton Crossfire 500,47.58 PS,Rs.4.74 - 5.19 Lakh*(View On Road Price),4.4/5,bike
CFMoto,649 cc,20 kmpl,CFMoto 650MT,70.70 PS,Rs.5.29 Lakh*(View On Road Price),4.0/5,bike
CFMoto,649.3 cc,20 kmpl,CFMoto 650GT,62.54 PS,Rs.5.59 Lakh*(View On Road Price),3.7/5,bike
CFMoto,292.4 cc,33 kmpl,CFMoto 300NK,33.99 PS,Rs.2.29 Lakh*(View On Road Price),3.6/5,bike
CFMoto,649.3 cc,20 kmpl,CFMoto 650NK,61.18 PS,Rs.4.29 Lakh*(View On Road Price),4.5/5,bike
Crayon Motors,,250 W,Crayon Zeez,,"Rs.51,760 - 64,075*(View On Road Price)",4.4/5,bike
DAO,,250 W,DAO Zor 405,,"Rs.89,184 - 1.19 Lakh*(View On Road Price)",4.0/5,bike
DAO,,2.5 kW,DAO Model 703,,"Rs.99,999*(View On Road Price)",4.0/5,bike
DAO,,250 W,DAO Vidyut 108,,"Rs.86,449*(View On Road Price)",4.5/5,bike
Deltic,3-4 Hr,250 W,Deltic Drixx,,"Rs.64,990 - 91,990*(View On Road Price)",4.0/5,bike
Deltic,3-4 Hr,250 W,Deltic Legion,,"Rs.69,490 - 95,990*(View On Road Price)",4.2/5,bike
Deltic,5-6 Hr,2 kW,Deltic ZGS,,Rs.1.02 Lakh*(View On Road Price),4.1/5,bike
Deltic,5-6 Hr,3 kW,Deltic Trento,,Rs.1.28 Lakh*(View On Road Price),4.1/5,bike
E-Went,4-5 Hr,250 W,E-Went Rabbitor,,"Rs.60,100 - 83,000*(View On Road Price)",4.3/5,bike
EMotorad,3-4 Hr,250 W,EMotorad X2,,"Rs.27,999*(View On Road Price)",4.4/5,bike
EMotorad,3-4 Hr,250 W,EMotorad X3,,"Rs.34,999*(View On Road Price)",4.3/5,bike
EMotorad,5-7 Hr,250 W,EMotorad Doodle,,"Rs.49,999 - 52,999*(View On Road Price)",3.8/5,bike
EMotorad,3-4 Hr,250 W,EMotorad Neo,,"Rs.25,999*(View On Road Price)",3.7/5,bike
EMotorad,3-4 Hr,250 W,EMotorad X1,,"Rs.24,999 - 27,999*(View On Road Price)",4.4/5,bike
EMotorad,3-4 Hr,250 W,EMotorad Legend O7,,"Rs.29,999*(View On Road Price)",3.8/5,bike
EMotorad,4-5 Hr,250 W,EMotorad T-Rex Air,,"Rs.34,999*(View On Road Price)",3.8/5,bike
EMotorad,5-7 Hr,250 W,EMotorad EMX,,"Rs.54,999*(View On Road Price)",4.4/5,bike
Elecson,,350 W,Elecson Folding,,"Rs.24,999 - 25,499*(View On Road Price)",4.8/5,bike
Elecson,,250 W,Elecson Ladybird,,"Rs.27,499*(View On Road Price)",4.6/5,bike
Elecson,,250 W,Elecson Eco,,"Rs.18,499*(View On Road Price)",4.7/5,bike
Enigma,4-5 Hr,1.5 kW,Enigma Ambier N8,,"Rs.95,000 - 1.05 Lakh*(View On Road Price)",4.0/5,bike
Essel Energy,6-7 Hr,250 W,Essel Energy GET 1,,"Rs.37,500 - 41,500*(View On Road Price)",4.0/5,bike
Essel Energy,5-6 Hr,250 W,Essel Energy GET 1+,,"Rs.81,314 - 86,930*(View On Road Price)",3.8/5,bike
Essel Energy,,250 W,Essel Energy Wind,,"Rs.54,600 - 73,650*(View On Road Price)",3.7/5,bike
Fidato Evtech,,4-5 Hr,Fidato Evtech Easy Go,,"Rs.86,315*(View On Road Price)",2.9/5,bike
Fidato Evtech,,3-4 Hr,Fidato Evtech Cutie,,"Rs.54,600*(View On Road Price)",4.4/5,bike
Fidato Evtech,,4-5 Hr,Fidato Evtech Future 2020,,"Rs.70,300*(View On Road Price)",3.5/5,bike
Flycon Motors,,3-4 Hr,Flycon Empire +,,"Rs.89,999 - 1.33 Lakh*(View On Road Price)",4.4/5,bike
Flycon Motors,,3-4 Hr,Flycon Empire,,"Rs.79,900*(View On Road Price)",4.2/5,bike
Flycon Motors,,6-7 Hr,Flycon Grove,,"Rs.74,629 - 80,957*(View On Road Price)",3.7/5,bike
Fujiyama,,250 W,Fujiyama Spectra,,"Rs.51,528 - 77,119*(View On Road Price)",4.5/5,bike
Fujiyama,5 Hr,3.7 kW,Fujiyama Ozone,,"Rs.99,918*(View On Road Price)",4.0/5,bike
Fujiyama,,250 W,Fujiyama Spectra Pro,,"Rs.54,384 - 79,975*(View On Road Price)",2.8/5,bike
GT Force,,4-5 Hr,GT One Plus Pro,,"Rs.76,999*(View On Road Price)",4.7/5,bike
GT Force,,4-5 Hr,GT RYD Plus,,"Rs.68,999*(View On Road Price)",3.7/5,bike
GT Force,,4-5 Hr,GT Drive Pro,,"Rs.85,999*(View On Road Price)",4.1/5,bike
GT Force,,4-5 Hr,GT Texa,,Rs.1.20 Lakh*(View On Road Price),4.3/5,bike
GT Force,,4-5 Hr,GT Vegas,,"Rs.57,999*(View On Road Price)",3.8/5,bike
Gaura Electric,4-5 Hr,250 W,Gaura Warrior 5G,,"Rs.62,999 - 99,990*(View On Road Price)",4.7/5,bike
GoBike,,4-5 Hr,GoBike E-Smart,,"Rs.71,780 - 1.04 Lakh*(View On Road Price)",3.2/5,bike
GoBike,,4-5 Hr,GoBike KN1 Plus,,Rs.1.36 Lakh*(View On Road Price),3.8/5,bike
GoBike,,,GoBike DMG,,Rs.2.37 - 3.05 Lakh*(View On Road Price),4.3/5,bike
GoBike,,4-5 Hr,GoBike Ambition,,"Rs.73,817 - 1.08 Lakh*(View On Road Price)",4.1/5,bike
GoBike,,4-5 Hr,GoBike Electro,,"Rs.76,109 - 1.10 Lakh*(View On Road Price)",4.3/5,bike
GoBike,,,GoBike V6,,Rs.1.60 - 2.28 Lakh*(View On Road Price),5.0/5,bike
GoBike,,,GoBike DMS,,Rs.1.63 - 2.31 Lakh*(View On Road Price),5.0/5,bike
GoBike,,,GoBike A 1-4,,Rs.1.60 - 2.28 Lakh*(View On Road Price),4.5/5,bike
GoBike,,4-5 Hr,GoBike XL,,Rs.1.52 Lakh*(View On Road Price),4.6/5,bike
GoBike,,,GoBike JF,,Rs.1.63 - 2.31 Lakh*(View On Road Price),4.5/5,bike
Hayasa,4-4.5 Hr,230 W,Hayasa Nirbhar,,"Rs.65,550*(View On Road Price)",4.3/5,bike
Hayasa,,230 W,Hayasa Daksha,,"Rs.74,050*(View On Road Price)",4.2/5,bike
Hayasa,,230 W,Hayasa Ira,,"Rs.76,750*(View On Road Price)",3.8/5,bike
Hayasa,,230 W,Hayasa Ojas,,"Rs.80,550*(View On Road Price)",5.0/5,bike
Herald,3-4 Hr,2 kW,Herald Legend,,"Rs.89,410 - 1.24 Lakh*(View On Road Price)",4.4/5,bike
Herald,3-4 Hr,2 kW,Herald Rider,,"Rs.87,660*(View On Road Price)",3.5/5,bike
Herald,3-4 Hr,3 kW,Herald Royal,,"Rs.91,150 - 1.23 Lakh*(View On Road Price)",3.7/5,bike
Hop Electric,3.15 Hr,2.5 kW,Hop Electric LEO,,"Rs.84,360 - 97,504*(View On Road Price)",4.0/5,bike
Hop Electric,4.45 Hr,4.2 kW,Hop Oxo,,Rs.1.28 - 1.61 Lakh*(View On Road Price),4.3/5,bike
JHEV,3-4 Hr,3 kW,JHEV Delta R3,,Rs.1.70 Lakh*(View On Road Price),5.0/5,bike
JHEV,3-4 Hr,2 kW,JHEV Alfa R5,,Rs.1.12 Lakh*(View On Road Price),3.1/5,bike
JHEV,3-4 Hr,3 kW,JHEV Alfa R3,,Rs.1.25 Lakh*(View On Road Price),4.2/5,bike
JHEV,3-4 Hr,2 kW,JHEV Alfa R1,,"Rs.89,999*(View On Road Price)",4.2/5,bike
JHEV,3-4 Hr,3 kW,JHEV Alfa K1,,Rs.1.25 Lakh*(View On Road Price),4.7/5,bike
JHEV,3-4 Hr,3 kW,JHEV Delta V6,,Rs.1.52 Lakh*(View On Road Price),4.5/5,bike
JHEV,3-4 Hr,3 kW,JHEV Delta E5,,Rs.1.46 Lakh*(View On Road Price),4.2/5,bike
Jitendra EV,3.5-4 Hr,1 kW,Jitendra JMT 1000HS,,"Rs.99,999*(View On Road Price)",3.2/5,bike
Jitendra EV,3.5-4 Hr,1 kW,Jitendra JMT 1000HS 26,,"Rs.89,000*(View On Road Price)",3.2/5,bike
Jitendra EV,4-4.5 Hr,1 kW,Jitendra JMT 1000 3K,,Rs.1.22 Lakh*(View On Road Price),5.0/5,bike
Kabira Mobility,3.2 Hr,5 kW,Kabira Mobility KM3000,,Rs.1.63 - 1.74 Lakh*(View On Road Price),4.6/5,bike
Kabira Mobility,3.2 Hr,5 kW,Kabira Mobility KM4000,,Rs.1.66 - 1.76 Lakh*(View On Road Price),3.7/5,bike
Kabira Mobility,4 Hr,2.5 kW,Kabira Hermes 75,,"Rs.90,825*(View On Road Price)",3.7/5,bike
Kinetic Green,5 Hr,2.2 kW,Kinetic Green E Luna,,"Rs.69,990 - 82,490*(View On Road Price)",3.9/5,bike
Kinetic Green,3-4 Hr,250 W,Kinetic Green Zing,,"Rs.67,990 - 75,990*(View On Road Price)",4.1/5,bike
Kinetic Green,3-4 Hr,250 W,Kinetic Green Zoom,,"Rs.71,531 - 78,776*(View On Road Price)",3.8/5,bike
Kinetic Green,3 Hr,1.2 kW,Kinetic Green Flex,,Rs.1.10 Lakh*(View On Road Price),4.1/5,bike
Kinetic Green,,2.1 kW,Kinetic Green Zulu,,"Rs.79,990*(View On Road Price)",4.1/5,bike
Kyte Energy,3-4 Hr,2.4 kW,Kyte Energy Magnum,,"Rs.64,360 - 74,360*(View On Road Price)",4.5/5,bike
Lectrix EV,,,Lectrix NDuro,,"Rs.57,999 - 99,999*(View On Road Price)",4.3/5,bike
Lectrix EV,3 Hr,1.8 kW,Lectrix EV LXS G 2.0,,"Rs.99,999*(View On Road Price)",4.0/5,bike
Lectrix EV,5-6 Hr,1.2 kW,Lectrix EV LXS 2.0 Subscription,,"Rs.49,999*(View On Road Price)",4.6/5,bike
Lectrix EV,7-8 Hr,250 W,Lectrix EV SX25,,"Rs.54,999 - 67,999*(View On Road Price)",3.8/5,bike
Lectrix EV,2.5-3 Hr,1.9 kW,Lectrix EV LXS,,"Rs.91,399*(View On Road Price)",4.4/5,bike
Lectrix EV,3 Hr,1.2 kW,Lectrix LXS 2.0,,"Rs.89,990*(View On Road Price)",4.3/5,bike
Lectrix EV,3.5 Hr,1.2 kW,Lectrix EV LXS 3.0,,Rs.1.02 Lakh*(View On Road Price),4.2/5,bike
MX Moto,5-6 Hr,4 kW,MX Moto M16,,Rs.1.98 Lakh*(View On Road Price),4.7/5,bike
MX Moto,,4 kW,MX Moto MX9,,Rs.1.46 Lakh*(View On Road Price),4.4/5,bike
MX Moto,,3 kW,MX Moto MXV,,"Rs.84,999 - 94,999*(View On Road Price)",1.0/5,bike
Maruthisan,,,Maruthisan Dream+,,Rs.1.63 Lakh*(View On Road Price),4.2/5,bike
Maruthisan,,,Maruthisan Beat,,Rs.1.70 Lakh*(View On Road Price),4.4/5,bike
Maruthisan,,,Maruthisan Racer,,Rs.1.93 Lakh*(View On Road Price),4.9/5,bike
Maruthisan,,,Maruthisan MS 3.0,,Rs.1.49 - 1.58 Lakh*(View On Road Price),4.0/5,bike
Moto Morini,649 cc,22 kmpl,Moto Morini SEIEMMEZZO 6 Â½,55.7 PS,Rs.4.99 - 5.20 Lakh*(View On Road Price),3.5/5,bike
Moto Morini,649 cc,23.92 kmpl,Moto Morini X-Cape,60.83 PS,Rs.5.99 - 6.49 Lakh*(View On Road Price),4.5/5,bike
Motovolt,4.5-5 Hr,1.5 kW,Motovolt M7,,Rs.1.23 Lakh*(View On Road Price),3.8/5,bike
NIJ Automotive,3-4 Hr,250 W,NIJ Automotive Accelero R14,,"Rs.49,731 - 73,326*(View On Road Price)",4.5/5,bike
NIJ Automotive,3-4 Hr,250 W,NIJ Automotive Accelero X-Pro,,"Rs.58,100 - 1.10 Lakh*(View On Road Price)",4.9/5,bike
NIJ Automotive,3-4 Hr,250 W,NIJ Automotive Accelero Plus,,"Rs.55,200 - 77,625*(View On Road Price)",4.0/5,bike
Nexzu,6.5-7 Hr,250 W,Nexzu Roadlark,,"Rs.32,950 - 41,700*(View On Road Price)",4.2/5,bike
Nexzu,2.5-3 Hr,250 W,Nexzu Rompus Plus,,"Rs.29,900*(View On Road Price)",5.0/5,bike
Nexzu,6.5-7 Hr,250 W,Nexzu Bazinga,,"Rs.32,950 - 41,700*(View On Road Price)",3.7/5,bike
Odysse Electric,3.5 Hr,250 W,Odysse Electric V2,,"Rs.77,250 - 1 Lakh*(View On Road Price)",4.0/5,bike
Odysse Electric,,,Odysse Electric Evoqis,,Rs.1.18 - 1.71 Lakh*(View On Road Price),4.3/5,bike
Odysse Electric,,4 Hr,Odysse Electric E2Go,,"Rs.71,100 - 94,100*(View On Road Price)",4.1/5,bike
Odysse Electric,3.5 Hr,1.8 kW,Odysse Electric Hawk,,"Rs.99,400 - 1.18 Lakh*(View On Road Price)",3.9/5,bike
Odysse Electric,,4 Hr,Odysse Electric VADER,,Rs.1.62 Lakh*(View On Road Price),4.0/5,bike
Okaya Electric,5 Hr,3.3 kW,Okaya Ferrato Disruptor,,Rs.1.60 Lakh*(View On Road Price),4.5/5,bike
Okaya Electric,5-6 Hr,250 W,Okaya Freedum,,"Rs.49,999*(View On Road Price)",4.1/5,bike
Okaya Electric,4-5 Hr,2.5 kW,Okaya Faast,,Rs.1.05 - 1.10 Lakh*(View On Road Price),3.7/5,bike
Okaya Electric,3-4 Hr,2.5 kW,Okaya Faast F2B,,"Rs.89,999*(View On Road Price)",4.1/5,bike
Okaya Electric,,1 kW,Okaya Motofaast,,Rs.1.34 Lakh*(View On Road Price),4.8/5,bike
Okaya Electric,4-5 Hr,800 W,Okaya Faast F2F,,"Rs.79,999*(View On Road Price)",4.0/5,bike
Okaya Electric,4-5 Hr,250 W,Okaya ClassIQ,,"Rs.59,999*(View On Road Price)",4.2/5,bike
Okaya Electric,3-4 Hr,1.2 kW,Okaya Faast F2T,,"Rs.89,999*(View On Road Price)",4.1/5,bike
Ozotec,,6 Hr,Ozotec Flio,,"Rs.84,990 - 1.33 Lakh*(View On Road Price)",3.1/5,bike
Ozotec,4.5 Hr,3 kW,Ozotec Bheem,,"Rs.89,990*(View On Road Price)",4.2/5,bike
Polarity Smart,,3 kW,Polarity Smart Sport,,"Rs.40,000 - 1.10 Lakh*(View On Road Price)",5.0/5,bike
Polarity Smart,,2.5 kW,Polarity Smart Executive,,"Rs.38,000 - 1.05 Lakh*(View On Road Price)",3.7/5,bike
QJ Motor,400 cc,20.6 kmpl,QJ Motor SRK 400,41.46 PS,Rs.3.59 - 3.69 Lakh*(View On Road Price),4.5/5,bike
QJ Motor,480 cc,30 kmpl,QJ Motor SRC 500,25.85 PS,Rs.1.99 Lakh*(View On Road Price),3.5/5,bike
QJ Motor,249 cc,50 kmpl,QJ Motor SRC 250,17.64 PS,Rs.1.49 Lakh*(View On Road Price),4.7/5,bike
QJ Motor,296 cc,35 kmpl,QJ Motor SRV 300,30.72 PS,Rs.3.19 Lakh*(View On Road Price),4.0/5,bike
Quantum Energy,,1.2 kW,Quantum BZiness,,"Rs.96,499 - 1.20 Lakh*(View On Road Price)",3.4/5,bike
Quantum Energy,,1.5 kW,Quantum Plasma,,"Rs.89,095 - 1.25 Lakh*(View On Road Price)",3.9/5,bike
Quantum Energy,,1 kW,Quantum Milan,,"Rs.89,000*(View On Road Price)",3.9/5,bike
Raftaar,4-5 Hr,250 W,Raftaar Cruzer R1,,"Rs.84,500*(View On Road Price)",4.0/5,bike
Raftaar,4-5 Hr,250 W,Raftaar Bumblebee,,"Rs.88,000*(View On Road Price)",4.1/5,bike
Raftaar,4-5 Hr,250 W,Raftaar Electrica,,"Rs.48,540 - 70,900*(View On Road Price)",3.8/5,bike
Raftaar,4-5 Hr,250 W,Raftaar Galaxy,,"Rs.51,900*(View On Road Price)",3.8/5,bike
Rowwet,3 Hr,2 kW,Rowwet Rame,,Rs.1.15 Lakh*(View On Road Price),5.0/5,bike
Rowwet,3 Hr,3 kW,Rowwet Trono,,Rs.1.81 Lakh*(View On Road Price),3.8/5,bike
SVITCH BIKE,,3 kW,SVITCH CSR 762,,Rs.1.90 Lakh*(View On Road Price),4.6/5,bike
Seeka,,3 kW,Seeka SBolt,,Rs.1.69 Lakh*(View On Road Price),5.0/5,bike
Seeka,,4 kW,Seeka SSeagun,,Rs.1.52 Lakh*(View On Road Price),4.8/5,bike
Shema E-Vehicle,6 Hr,1.2 kW,Shema Eagle,,"Rs.64,999 - 1.17 Lakh*(View On Road Price)",3.0/5,bike
Shema E-Vehicle,6-7 Hr,1.5 kW,Shema Tuff,,"Rs.79,655 - 1.40 Lakh*(View On Road Price)",5.0/5,bike
Shema E-Vehicle,5 Hr,250 W,Shema Bold,,"Rs.82,200*(View On Road Price)",4.2/5,bike
Sokudo,4 Hr,3 kW,Sokudo Acute,,"Rs.89,889 - 1.05 Lakh*(View On Road Price)",5.0/5,bike
Sokudo,,5-6 Hr,Sokudo Plus,,"Rs.59,889*(View On Road Price)",4.7/5,bike
Sokudo,4-5 Hr,2.3 kW,Sokudo Select,,"Rs.86,889*(View On Road Price)",5.0/5,bike
Tunwal,6-7 Hr,250 W,Tunwal Strom Advance 2,,Rs.1.35 Lakh*(View On Road Price),5.0/5,bike
Tunwal,6-7 Hr,250 W,Tunwal Mini Sports 63,,"Rs.49,990*(View On Road Price)",4.3/5,bike
Tunwal,6-7 Hr,250 W,Tunwal Mini Lithino,,"Rs.54,990*(View On Road Price)",4.4/5,bike
Tunwal,6-7 Hr,250 W,Tunwal Roma,,"Rs.95,000*(View On Road Price)",4.6/5,bike
Tunwal,6-7 Hr,250 W,Tunwal Storm ZX,,"Rs.90,000*(View On Road Price)",4.1/5,bike
Tunwal,6-7 Hr,250 W,Tunwal TZ,,Rs.1.15 Lakh*(View On Road Price),5.0/5,bike
Tunwal,,,Tunwal Sport,,"Rs.71,990*(View On Road Price)",4.3/5,bike
Tunwal,4-5 Hr,250 W,Tunwal Lithino Li,,"Rs.74,990*(View On Road Price)",4.5/5,bike
Tunwal,6-7 Hr,250 W,Tunwal Strom Advance 1,,Rs.1.15 Lakh*(View On Road Price),3.0/5,bike
Warivo Motors,,5-8 Hr,Warivo Motors Nexa,,"Rs.58,300 - 74,300*(View On Road Price)",4.1/5,bike
Warivo Motors,,1.5 kW,Warivo CRX,,"Rs.79,999*(View On Road Price)",5.0/5,bike
YObykes,10 Hr,250 W,Yo Drift DX,,"Rs.65,000 - 70,000*(View On Road Price)",4.5/5,bike
Yezdi,334 cc,28.53 kmpl,Yezdi Roadster,29 PS,Rs.2.06 - 2.13 Lakh*(View On Road Price),4.2/5,bike
Yezdi,334 cc,33.07 kmpl,Yezdi Adventure,29.6 PS,Rs.2.10 - 2.20 Lakh*(View On Road Price),4.3/5,bike
Yezdi,334 cc,32.04 kmpl,Yezdi Scrambler,29.77 PS,Rs.2.10 - 2.16 Lakh*(View On Road Price),4.1/5,bike
Zelio,,7-8 Hr,Zelio Little Gracy,,"Rs.49,500 - 58,000*(View On Road Price)",4.7/5,bike
Zelio,,9-10 Hr,Zelio Gracy i,,"Rs.59,273 - 82,273*(View On Road Price)",4.6/5,bike
Zelio,,4-5 Hr,Zelio Eeva,,"Rs.56,051 - 79,051*(View On Road Price)",4.6/5,bike
Zelio,,4-5 Hr,Zelio X Men 2.0,,"Rs.69,499 - 91,500*(View On Road Price)",4.6/5,bike
Zelio,,8-9 Hr,Zelio Eeva Eco,,"Rs.49,500 - 68,000*(View On Road Price)",4.8/5,bike
Zelo,,3 Hr,Zelo Zoop,,"Rs.45,900 - 86,900*(View On Road Price)",4.4/5,bike
Zelo,,3 Hr,Zelo Knight,,"Rs.49,900 - 91,900*(View On Road Price)",5.0/5,bike
Zontes,348 cc,40 kmpl,Zontes 350R,38.52 PS,Rs.2.79 Lakh*(View On Road Price),4.4/5,bike
Zontes,348 cc,31.25 kmpl,Zontes GK350,38.52 PS,Rs.3.37 - 3.47 Lakh*(View On Road Price),4.4/5,bike
Zontes,348 cc,23 kmpl,Zontes 350T,39.33 PS,Rs.2.99 Lakh*(View On Road Price),4.0/5,bike
Zontes,348 cc,36 kmpl,Zontes 350X,39.33 PS,Rs.2.99 Lakh*(View On Road Price),4.4/5,bike
e-Sprinto,3-4 Hr,250 W,e-Sprinto LS,,"Rs.76,000 - 82,000*(View On Road Price)",4.0/5,bike
e-Sprinto,3-4 Hr,250 W,e-Sprinto Roamy,,"Rs.54,999*(View On Road Price)",3.7/5,bike
e-Sprinto,3-4 Hr,800 W,Sprinto HS,,"Rs.86,000 - 97,000*(View On Road Price)",5.0/5,bike
iVOOMi,5.45 Hr,2.1 kW,iVOOMi Jeet X,,"Rs.84,999 - 1.05 Lakh*(View On Road Price)",4.7/5,bike
iVOOMi,,1.8 kW,iVOOMi S1,,"Rs.54,999 - 84,999*(View On Road Price)",4.4/5,bike
